,text,true,pred
205,"Child to Cherish Buttermilk Farm Small Blankie and Rattle in Pink My 2nd grandson received this as a gift when he was born and it was truly wonderful. He took to it nearly instantly. He will be 3 in February and still loves his blankie. His mother found one online and I purchased two - one for their house and one for our house because just once they forgot to bring it to our house and he was spending the night. Oh my! Now we each have an extra in case the original is in the wash. When he is here, he will ask for his other blankie, look for the tag he seems to chew on and tells me, ""Oma this is beautiful, thank you for my blankie tonight."" He goes right to sleep with both old and new happy as a clam. He knows that one stays here and has a special place in his drawers. He can get it any time but it stays here. I think that when there is a special blanket a child is attached to it is a good idea to get two or three because you never know when the child will be sick or might lose it temporarily and then rotate them out frequently like you do the sheets on the bed. I love this child and am glad he knows he has his favorite blankie at Oma and Opa's house and Thanks to those that sent it to him as a newborn. It is a beloved gift!",baby products,toys games
206,"Bouncy Bee As previous posters have said, I feel conned after purchasing this product, albeit not from Amazon but the product is exactly the same. This IS NOT wood, has never seen a tree probably and is not nicely painted as it may seem but covered in very non-durable stickers???!!!! I am very angry I wasted money on this product. I even bought one for a friend but am a little ashamed and may just donate it rather than admit to being duped.",toys games,health personal care
207,"Creased Leather Collar in Black These are quality leather collars at the best price I've found. I had to order several, so price was a concern. They arrived in a very timely manner.",pet supplies,grocery gourmet food
208,"Mrs. Meyer's Clean Day Bar Soap, 8-Ounce Bars (Case of 12) Mrs. Meyer's clean day products are the best cleaning product I have ever used. Because they are non-toxic...I can allow my kids to help out around the house and not worry that they are being exposed to something that isn't good for them. The smell is awesome, I love the lemon verbena. I've tried every product except the dog shampoo and love them all. Well worth a try...",beauty,health personal care
209,"Gentle Naturals Baby Eczema Cream, Fragrance Free, 4 oz. Our son, who's almost 1 1/2, has patches of eczema on his cheeks and the backs of his knees. We tried a hydrocortisone cream, as his doctor suggested -- it worked (temporarily) on his legs but not at all on his face.I grabbed this cream on a whim while at the store one day. It works like magic! After just a couple of days, my little guy's cheeks and legs were totally soft and not red or irritated-looking at all. They stay that way, too, as long as we remember to put the cream on every day.The only reason I'm not giving this five stars is because it does contain parabens, which I like to avoid in the products I use on my son.",baby products,beauty
210,"Thread Genie - Magic Invisible Thread The reel rewind is weak and based on twisting elastic thread. Although there is a lot of thread on the reel, the retracting elastic gets too tight and breaks when about 6 feet of thread is extended.Additionally, the thread on my reel had taken on the curve of the reel, instead of lying flat. I expect that the thread is twisted as it is placed on the device, causing this flaw. This caused it to have a curvy wave like very curly hair. The result was that the I.T. was more obviously reflecting every light source than if it was strait. I tried to use the I.T. on another reel, but it kept coming off, due to the curliness.The I.T. on this reel is stronger than others I have tried.If you are looking for a powered reel, I have had very good results with the Tarantula, which doesn't have any of the problems of this reel.",toys games,health personal care
211,"Liquid Glass .5 oz. Laminate had to purchase online because local stores stopped carrying. probably because of the ""evil"" (so I've heard) pthalates inside. will dislike having to find a replacement that is pthalate-free, but will do so when this last order runs dry. I actually coat this ON TOP of my seche viteSeche Vite Dry Fast Top Coat .5 Fl Ozand really helps my homemade manis last.",beauty,health personal care
212,Primacare RS-8632-CS CPR Shield/Barrier (Pack of 10) fast service - item as stated . Hope I never have to use the CPR shields,health personal care,grocery gourmet food
213,"Sebolux Shampoo 15.5oz My pom has developed some kind of skin condition, which apparently nobody knows what it is. Looks like black skin disease starting to develop. So after trying everything else, saw an ad for this, and have been using it, and it works well, soothes the skin, and gets rid of the odor, only problem is after a few days flakes and scabs are back. I would recommend this though, especially if skin condition is caught early.",pet supplies,beauty
214,"Anti-Nausea Ginger Gum 24 Count Ive been on over 30 cruises and always use this, its great and doesnt make you tired like medicines. Its hard to find in drug stores, glad i can get it on amazon",health personal care,grocery gourmet food
215,Tend Skin I bought this product to help soothe my razor burned neck. It ended up making my neck much worse. Very red and irritated.,beauty,health personal care
216,"Dr. Blaine's Tineacide Antifungal Cream 1.25 Oz. - Each I have only been using Tinecide Anti Fungal Cream for a couple of weeks, but my toe nails look better already. Seems to be a very cost effective solutions and much less time consuming than doctor visits.",health personal care,beauty
217,"Wedgwood Peter Rabbit Original Set My boyfriend has/had this set (he broke his saucer as a child) and we got it as a christening gift for my nephew. I had to double check the Wedgwood sit because I thought there had been a mistake--the plate looks VERY different from the teacup and bowl and the cup does not have ""Now run along and don't get into mischief"" behind the handle OR the picture of Peter inside (the old cup has him running along on the inside). The older set (my boyfriend's) also has much darker colors even though it is more than 20 years old. I'm still going to gift it but might have preferred to get a two-piece set instead because the teacup and bowl match well and the plate looks so strange in comparison--almost like a machine painted it and was out of an essential color. Also, the packaging is kind of ratty looking so I'll be wrapping each piece in tissue. Still cute though. And, seriously, your average little boy will not know the difference.",baby products,toys games
218,"Sahara - Fleabitten Grey Arabian This is a very pretty model.I love the color of her coat, and the possition she's in.It's deffinitly worth the money.",toys games,pet supplies
219,"Jack Black Industrial Strength Hand Healer with Vitamins A & E Nail Treatment Products The Jack Black Industrial Strength Hand Healer works to heal the skin with Vitamin A and E. Rice Bran Oil moisturizes without being overly oily.Eucalyptus, a natural antiseptic, is also used to relieve the pain of arthritis and will increase blood flow and give a warm, soothing sensation.You may find this cream useful if you have a cut or scratch. Your skin will heal much faster than normal. I noticed this before I really looked at the ingredients.The addition of ""allantoin/Comfrey Root Extract"" is significant and explains why this heals the skin so fast. Allantoin is said to produce an increase in leukocytes/white blood cells that help to ward off infection.Skin will regenerate faster and pain is also relieved. This cream is perfect for skin irritations, chapping, cracking of the epidermis and wounds that are slow to heal.Take this with you on camping trips or keep it on handfor healing applications.~The Rebecca Review",beauty,health personal care
220,"Hollywood Fashion Tape Double-Stick Strips-36 count I wore a strapless beaded cocktail dress (lined with satin) to a wedding and hoped this fashion tape would help keep the dress up. Unfortunately, I got through almost half the tin in one night...and it still didn't work at holding up the dress. It didn't damage the fabric, so that a positive. It did leave a sticky residue on my skin that hurt to peel off. I do not think I'd recommend this product to a friend, but maybe it would work for a much lighter job.",beauty,health personal care
221,Transparent Tube with Handles Wonderful addition for a family beach event. One size fits all. Note,toys games,health personal care
222,Pears Natural Glycerine Soap 4.4oz (Pack of 24 Bars) original formula for 200 years had 8 ingredients. Now it has 24!it is not delightfully mild smelling or long lasting. I urge you to research this product before buying. I learned the hard way. It is not what you have fond memories of. Very disappointing.it irritated my eyes and nose. i could even taste it. AVOID.,beauty,health personal care
223,"Fluffy Cat Puppet Received and returned Ms. Fat Cat. Her fur was too rough, and ours seemed to have been sewn a little defectively, with fur too close to one eye, covering it persistently, despite my attempts to manipulate that. Also the fur near top of her head sewn in a very triangular shape, rather than rounded. Her legs splayed a bit far with puppet on (or off) and attempts to hold feet in place. Also her feet/paws stuffed to a hardness that when moved around was more like a deceased cat (I don't even want to say dead cat, but that's what it made me think of). Also, her face and cheeks are similarly hard and stuffed, with a very hard and very small mouth, too tough to manipulate. (This is unlike many of the other Folkmanis puppets.) She has a little tongue that is like a piece of fabric or paper stuck in the mouth, supposed to make it cute or interesting, but it wasn't. (Cannot manipulate the tongue.) I had thought her fat cat body would be cute or cuddly in some manner, but she was entirely (and sadly for us) unappealing to my two little children as well. Perhaps all of this sounds fussy, but she just didn't make our cut. We enjoy several other Folkmanis puppets.",toys games,pet supplies
224,"Prodyne M-912 Stainless Steel Spice Rack, 12-Bottle It was a Christmas gift for my nephew who moved in to his first place. He liked it. It's modern and masculine.",beauty,toys games
225,"Ahava Dermud Enriched Intensive Foot Cream, 4.2 oz I've tried different foot lotions and this one is by far the best. It is thick and you only need a little each time so it lasts for a long time. I only use it during the winter but it works really, really well. Highly recommended!",health personal care,beauty
226,"Two Little Fishies ATLPBR150 Phosban ReaCountor, 150 Gallon The cost of buying 3 of these is the same as one of the more High class reactors. This comes with everything you need except for the pump.",pet supplies,toys games
227,"Symphony-In-Motion Mobile I was so disappointed in the &quot;matching&quot; moblile I got with my bedding that I gave in and bought this one. My son LOVES it. I wish we could take it with us on vacation. I am able to take a shower and he is entertained for 15 minutes. Sometimes I turn it on a second time and he's still just as enthralled by it. It is well made, not flimsy like the cheaper plastic mobiles, and it is well worth the money!!",baby products,toys games
228,"Battery Operated Pet Massager I had one of these with my prior two cats..and they acted nuts for it. I was pet-less for awhile and got rid of all pet related items. Then I adopted a cat, and bought another one of these Pet Massagers...it's the best...it's certainly helped to make her feel at home..this is home, and I am her personal servant....who massages her with this thing. All I do is click the button to turn it on, and I got cat in my lap! I don't care where in this place she is..even if she's sleeping...she hears that button click, here she comes....It's the best!",health personal care,pet supplies
229,"Spectrum Naturals - Coconut Oil Unrefined, 14 oz liquid There is few dollar of difference between refined and unrefined. I only cook with extra virgin olive oil since the mono to poly unsaturated oil is 7 compare to almond 4.1 and coconut 3.2. Applying heat to poly-unsaturated fat creates unhealthy factors compared to mono-unsaturated fats. Now, once in a while it is fine for me if the oil is becoming rancid to use as cooking oil and consume before the 6 months window before the nut oil going rancid but on regular basis it is not a good idea. There is two type of nut oil, and unlike one reviewer who puts PHD next to her name and misinforms, refined is an oil that is missing some characteristics of the nut like smell and taste and for that reason you can apply more heat to refined since it is missing certain ingredients which can burn during cooking and create unpleasant conditions. Not having smell has nothing to do with organic or conventional seed. Coconut is the healthiest of all but it is like a cream not a lotion so I use coconut oil for hands and feet. Any nut oil should be good enough that you can consume it raw or use it in cooking and Spectrum is the better one since it really is sold all over right next to all other cooking oils instead of health section. I like Spectrum because of the glass container.",health personal care,grocery gourmet food
230,"Clubman Pinaud Talc - 9 oz I was a little skeptical since I already have a favorite after bath men's powder, but this turned out to a good addition to a modest men's kit. Elegant fragrance. Quality product.",health personal care,beauty
231,"Traditional Medicinals Organic Weightless, Cranberry, 16-Count Boxes (Pack of 6) It does what it says. weightless. It helped shed excess water around my waist, which women would love to lose. And also helped toned my uterus. Added benefit or cranberry. I urinated sometimes, guess because of UTI and never felt so great. No side effects what so ever and feel so lightweight.",grocery gourmet food,health personal care
232,"K&H Cool Bed 3 Cover Fitted Sheet Don't waste your money. The material is thin and cheap, and I'd have to say a kid in a Junior High home economics class would need to do better making something like this or be faced with a very disappointing grade. The product description unfortunately isn't lying, only because these are obviously the only covers produced for the Cool Bed 3.",pet supplies,baby products
233,Jar of Glow Stars Good product which is why I rated it a four. I have no complaints about the product itself however the price is not too convenient I would recommend visiting wal-Mart or any of those stores that sell everything because you will probably save a couple bucks. If you don't mind the price then I definitely recommend these because they glow very brightly and they last a while which I really like. Most of the stars are small there isn't much of a variety of siZes just a bunch of small ones and like 8 or 9 big ones.,toys games,health personal care
234,"Zen Reflections Juniper Bonsai I bought this for a friend of mine as a birthday gift.The delivery was fine and the packaging also, I was concerned about it getting here in good condition, but it got here hale and healthy.However, the first photo in the ad, does not have the fisherman and all those things, the other photos in the series have it though. On the other hand, the ad does not make it clear how the fisherman comes with the order",grocery gourmet food,toys games
235,"Basic Comfort Rest EZ II Pregnancy Wedge I bought this pillow, because I have always been and always will be a back sleeper. Regardless of how many times I went to sleep on my side, I always woke up flat on my back, and now that I'm well into the third trimester, I knew it was time to do something about that. My problem is that when I lie on my side, I get horrible cramps in my thighs and hips and end up on my back to get the pressure off of them. I searched for pillows in a number of places, but this was the only one that claimed it supported the lower back (others advertised belly support, which isn't a huge deal to me), so I gave it a try. When I first opened the box, I wasn't too sure about it--it looked very flimsy and small. But after setting it up, it supported me completely! And I even woke up not on my side once, but the wonderful thing about the design of this pillow is that even when I get all the pressure off my hips and thighs, it keeps me at an angle, so I'm never actually flat on my back. But the majority of the time, the back support side supplied enough firm support that I was comfortable on my side without putting pressure on my thighs and hips. I love this pillow and wish I had bought it 27 weeks ago, when I first found out I was pregnant. But instead, I bought a full body pillow, which although was comfy to sleep on, provided no support but in front and was large and cumbersome. This wedge pillow is supportive, but takes up just enough space. It's wonderful and a huge comfort for back sleepers.",baby products,health personal care
236,"Drinkwell Hydro-Go Pet Canteen I ordered one of these last year and it worked well until the stopper strap broke and then lost the stopper, so I got a stopper at the hardware store and kept on using it. I liked the design enough, and after losing the replacement stopper, that I decided to try replacing it.I ordered another one a couple of weeks ago and, when it arrived, the plastic strap holding the stopper cap was already broken. So I sent it back for a replacement, which was prompt in arriving. This one was not only was broken when it arrived but the stopper cap was missing completely - which is why I had ordered another one in the first place.At this point, I decided to stick with the original unit and keep a small stock of cork or rubber stoppers handy.The notable flaws in the design are; the plastic used for the cap/stopper assembly is inappropriate (will not handle the requisite flexing to operate the stopper) and the plastic strap for the stopper sticks out from the flat side of the canteen so one has to carry it with the bowl against the body, so one has the choice of getting wet from the bowl or having the plastic strap edge poking you. After the stopper broke off I trimmed back the leftover plastic on the cap to allow me to carry it with the canteen against my body which is much more comfortable.It's a nice idea, but the design is flawed and the quality control is poor, Amazon should at least look a the products it sells prior to delivery to ensure it is in operational form/has all the parts.",pet supplies,health personal care
237,"Dial Antibacterial Deodorant Soap 4.5 oz Bars, Mountain Fresh - 3 ea If you want to try one of the most incredibly smelling soaps, grab this one. It just smells wonderful! We've been using it for quite some time now and just love it. It doesn't dry and much as other soaps do but cleans better than most. There's no filmy residue and if you work out, it REALLY gets you clean and you stay that way for hours. We can bring this home and it will smell up the kitchen and that's a good thing! Great soap!",beauty,health personal care
238,"Cliffs and Caves Master Kit - Large - 6 x 7 x 3 in. - Small - 4 x 2 1/2 x 1/2 First, this kit is very tiny. Your beloved animal will not fit in that cave unless it is a dwaft puffer.Second, the edges are sharp. It is made with very cheap plastic and they did not cut sharp edges at all, well it's just designed this cheap way.Third, the color of this replica is ridiculous. Do not believe the picture, they professionally painted that model or it's real rock and the kit you will get is actually 1 color, Cheap nasty green.Fourth, the picture makes you believe that it is similar to a normal aquarium rock, No. You get exactly what's on the picture from the front view. Then it is cut in half so you attach the entire kit to the wall. So I don't know what they meant by ""Cave kit"" it 1"" or less deep inside.Fifth, the attachable cliff pieces are a joke. They do not even fit in, they'd 100% fall off with your hamster's or fish's nose breeze.To sum it up, this was the worst $20 spent in my entire online purchase. Also the kit says made in USA, manufactured in Thailand(?), 1999. Get it?",pet supplies,toys games
239,"Venom 7.2v 3000mAh 6-Cell NiMH Battery with Universal Plug System This is a 3000mAh Battery. It is a great battery. It charges in about an hour at 4amps. About 2 hours at 2amps respectively. I get about 15 minutes of run time out of my Traxxas Stampede monster truck. If you are looking for a longer lasting battery get a 4000 or 5000mAh battery. Personally, I just bought two of these. They work well and Venom makes a good battery.",toys games,health personal care
240,"GMI Guardmaster II Wire Mesh Expansion Gate I own house rabbits so I found the wire mesh to be more suitable for keeping smaller pets enclosed. What I found with this gate is that a child or dog could easily push this out of a doorway. The locking system is a little tough to get an exact fit in a warped doorway in an older home. I like the sturdiness of the wood and wire. Rabbits chew plastic so the wire makes this ideal for ferrets, rabbits or guinea pigs.",baby products,pet supplies
241,"Cranberry Tea by Alvita - 24 Bags I am a fan of peppermint, I used to get a wonderful peppermint tea for iced tea and it went off the market a few years ago so i returned to my tried and true black iced teas until recently. My wife and I found this tea, we love ginger as well, and I decided to try it in my iced tea maker with a bit of Stevia to sweeten it. Lo and behold, a delightful, refreshing iced tea emerged and we've been fans ever since. I found that putting this three pack on a monthly subscription makes it very affordable and we always have enough tea to get through the month.In summary, this is a very good quality mint and ginger tea and I highly recommend it -- best one I've had!",health personal care,grocery gourmet food
242,"Rockstar Energy Drink, 16 Ounce Can (Pack of 24) I feel that Rockstar gives a more even energy high for a loger period of time then the other energy drinks out there. Also, Amazon's free shipping, no tax and no shipping makes it a deal.",grocery gourmet food,health personal care
243,"Dermarest Rosacea Advanced Redness Treatment 2 oz I really did not like anything about this product. It came out super greasy, smelled absolutely awful, and made my face /redder/ than it originally was. Maybe it's different for every person, but it's definitely not for me!",health personal care,beauty
244,"Wahl Comb & Cut Hair Clippers Hairstyle Grooming Kit For someone like me, who becomes ever more ""follicularly-challenged"" with each passing year, this combNcut works like a charm. I've enviously read reviews where this product barely makes a dent on a thick head of hair. That may be so, but for my thinning, slowly-growing one, a few passes per section leaves it looking reasonably fresh and shaped in between cuts. Will this replace a good haircut? Definitely not but it will extend the intervals between cuts by nicely thinning and shaping the sides and back, which in my case, grow a lot faster than do the top and front. Most importantly a little bit of attention each week keeps you well groomed, but an incidental benefit is that by extending my hair cut cycle from approximately 4 to 6 weeks @ $22 (cut and tip) per cut, I'm saving about $90/yr while actually looking better between cuts.This trimmer is pretty fool-proof and the instructions are easy to follow. Essentially take 3 passes per section on the thick part of your head and 1 pass on your thinning hair. Repeat as necessary and you're good to go.",health personal care,beauty
245,"Secura Moisturizing Cleanser By Smith and Nephew- 5459430900- 8 Oz Bottle My vet told me about this as a non-antibiotic/non-steroid treatment for yeast infections in my dog's ear. It's a human product and very gentle, a leave-in cleaner which doesn't seem to irritate the dog at all. Yeast infections don't stay ""cured,"" especially not here in humid S.TX, but this cleanser really does work as well as anything. The amazon price was a LOT less than the vet's, too!",beauty,pet supplies
246,"Horizontal Aquarium Thermometer Nice Thermometer worked well, you can mount it vertically or horizontally. Seems to keep accurate temp! I have purchased two, I like them mounted horizontally along the bottom edge.",pet supplies,health personal care
247,Now Foods Erythritol Natural Sweetener This stuff is amazing-it not only tastes exactly like sugar it looks like sugar. This is the only substitute sugar my husband has not detected. We have had it in our sugar bowl for five months and he still thinks it is sugar!,health personal care,grocery gourmet food
248,"LUXOR Professional 7 1/2 inch Ice Tempered Barber Styling Shears (Model I may have received a pair of scissors that were less than the usual quality. Mine were so stiff it took some effort to open & close them. I have had barber-quality shears before- these were a huge disappointment, considering the reviews. I would most definitely not order this product again.",beauty,health personal care
249,"Naturade Natural Vegetable Protein Soy-Free This is a great soy free and dairy free vegtable protein powder. It mixes well. It dissolves easily in water or juice. Mixed with filtered water or juice, it tastes quite pleasant. It has no sugar, so it doesn't taste sweet. This is a big plus for those seeking a low glycemic diet.",grocery gourmet food,health personal care
250,Reviva Vitamin K Cream Excellent product for the treatment of bruises. Bruises get lighter with the treatment and go away much faster too. Try it and see>,beauty,health personal care
251,"3 pack 1/2 grain 1000 saccharin tablets Was able to find an item difficult to locate in the stores anymore. Online price was very reasonable and was shipped quickly; good pricing, too. Would use this company again since they were able to provide something that I couldn't otherwise find.",grocery gourmet food,health personal care
252,Travel Tie Case Holds 6 Neck Ties w/ Accessory Pocket Black Ramie - Household Essentials 06704 I have a family member who travels for business trips but could only take one or two ties. But this allows him to take 6 or 7 ties! I recommended this to any one who travels in suit attire.,beauty,health personal care
253,"CarbRite Bar, 12 bars Buyer Beware Please! This sweetener is not for everybody. Maltitol is an alcohol sugar and can be undigestible in the body. You will know a short time after consuming it if you are one of the unsuspecting many who cannot digest it by the extreme intestinal bloating and cramping and massive amounts of gas a person can experience. Nausea, diarrhea & headaches can also be experienced. I learned my lesson the hard way years ago when I fell in love with the sugar-free chocolates suzanne sommers used to sell. I thought I'd found sugar-free chocolate nirvana at first taste but the bliss was short lived when the terrible side effects of maltitol kicked in. The discomfort was unlike anything I had ever felt before. I blew up like a balloon and had very painful abdominal cramping. As the symptoms passed, this too was very unpleasant. Though hard for me to believe a low calorie sweetener could be the culprit, all symptoms were gone when I stopped eating the chocolate. My hunch it had something to do with the maltitol were unfortunately confirmed for me about a year later when I purchased some delicious sugar-free popcorn at my local market. The taste was amazing and while I was looking at the label wondering what could possibly make this yummy, new sugarfree treat taste so good, my heart sank when I followed the little asterisk next to sugarfree sweetener* down to the very bottom of the label and read ""maltitol"" in tiny little letters! Thank goodness I'd eaten only a little. I still ended up with all the same side-effects but for a much shorter duration. Some people can use maltitol to their heart's content but others, like me, can have a bad reaction to it. In case you're like me, ... it's not you ...it's the maltitol!",health personal care,grocery gourmet food
254,"D-I-Y Bubble Tea Gift Pack This kit is so cool! It's not like bobas that you get in restaurants but it's so cool how it all comes together. They give you everything you need and the instructions are clear. The different flavors are really cool too. My fiance and I love making the drinks, it makes us feel special :)",grocery gourmet food,toys games
255,"Break Your Own Geodes I got 10 Thunder rocks. Like a geode but solid most/all the way through,. Recomend rinsing first perhaps an old (trash)toothbrush",toys games,health personal care
256,Baby's My First Photo Album of Family & Friends The idea of this is fantastic- but the actual item is poorly made with really cheap materials. I read the reviews and decided I didn't care- the plastic the holds the photos is really shotty and sticks to every picture- like you put in in a hot car and let it melt- but it did not- it's just cheap. I think the idea of this and the number of photo pages is amazing- it's too bad they charge $14.95 for something that clearly cost .$50 or less to be made in some third world country. I am using it anyway- but wish I had paid 1/10th of what I did.,baby products,toys games
257,"Corolle Les Classiques Doll Accessories (Floral Print Umbrella Stroller) This is a durable, attractive, stroller that functions as intended. It folds up like any umbrella stroller, but we keep it open so its ready for use. I couldn't tell you how well it functions if it is opened and closed repeatedly.The wheels are not multi-directional and are made of rigid plastic. To keep the wheels in good condition, I would only use this stroller on flat surfaces indoors.I was surprised at how small the stroller actually is. I wouldn't recommend this for any child over 4 feet in height. My daughter is 3 ft tall and it's the perfect size for her.",toys games,baby products
258,"Tranquility TopLiner Mini Booster Pad Diaper Inserts Pk/25 First a tip to those who are having leaks with babies younger than a year old, because really you shouldn't be leaking yet at that age -- always use a special nighttime diaper and go up a diaper size for your night diapers when you start getting leaks, even if your baby is still using the smaller size day diaper. That always did the trick for us. That is, up until about 19 months old when we got up to size 5 and then 6 in nighttime diapers (Huggies) and they just weren't big around at the waist in front to contain the urine for a boy who sleeps on his stomach a lot. I tried using a maxi pad across the top inside the diaper and that helped a little but I still got leaks. I determined we needed simply extra absorbency inside the diaper so I got these Tranquility mini booster pad liners. I was desperate because we were having bad leaks every single night. Oh my gosh, what a relief. They worked from the first night onward. No leaks 4 nights in a row so far. For my boy, I don't put these across the top horizontally, I put them vertically inside the diaper but place them further up in front for a stomach-sleeping boy. The edge of the liner should be at the edge of the top front waist part, or just below that. Other tips",health personal care,baby products
259,"HoMedics WFL-ROCK EnviraScape Illuminated Rock Garden Relaxation Fountain I also do not have the pump suctioned to the bowl, and with the pump setting on medium, plus a careful arrangement of rocks, I can create any level of water sound I'm in the mood for, and I have to lean so close to the fountain I'm practically drinking from it before I hear any motor noise.This fountain does have a not-so-pretty side, so I put it on a bookshelf underneath a window. I guess it might not work as a centerpiece, but 3/4 of it is very pretty to look at, and it came with two good size bags of rocks, plenty if you leave the ugly side alone.Also, even if you overfill this fountain there's almost no splashing and no leaking out of the bottom either. I have it running all day long at work (up to 10 to 12 hours at a time), and it's very consistent, I only have to add filtered water occasionally. I've gone through MANY fountains, and this is the best one out there, more than worth the price.",health personal care,pet supplies
260,Vojo Energy Mints Citrus Ok I got these at the store for kicks and giggles. They aren't that great tasting and barely have any caffine in them. They contain 2.2 mg of caffine per tablet. A red bull (8.3 oz) has approximately 80 mg of caffine. To get the same effect of a red bull from these mints you need to eat about 37 of them. The package I bought has 40 mints. So unless you want to suck down lots of these at once they aren't an energy option. Just get a coffee...,health personal care,grocery gourmet food
261,"Lansky Super Sapphire Polishing Hone I've bought many of these for me and my friends. I can't understand, why one stones of dark blue color, as well as shall, and others white (like Super Fine Hone with yellow handle). It seems like they mixed handles/ hones. The Lansky shall improve products control.",beauty,health personal care
262,Genisoy Products Co. - Delicious Soy Protein Bar - 12 - 2.2 oz (61.5 g) bars (26 oz [738 g]) As always these keep you full and are very yummy! I love how they are a denser bar with some crunch. They really do fool you into thinking you are eating a candy bar- I have such a sweet tooth so this is a good thing.,health personal care,grocery gourmet food
263,"GuideCraft Circus Book Shelf I love this shelf. Piece was larger than I had expected and simply the icing on the cake for a circus theme room. Shelf is very sturdy, brightly colored and the circus images are precious.CONS",baby products,toys games
264,Power Wheels 12-Volt Rechargeable Battery Product worked one time (just fine) and then never worked again. Called/wrote to get an exchange and company stated that there were no exchanges or refunds on batteries. Very very lame. Still working on getting money back or exchange of product. Buy at your own risk!,toys games,health personal care
265,"Nair Hair Remover for Men, Extra Strength Roll-On Lotion - 6 oz I don't know what these other reviewers are talking about, but this product does wonders... I only wish it had permanant effects. Its painless, simple and easy to use. Just roll it on, 4 minutes later with a warm wet washcloth wipe it off. I have sensitive skin on top of everything... so those who had bad experiences either have very light transparent skin or did not use this product properly. This formula is stronger than the female version. I've tried Nads (which worked, but HURT!) and Epil-stop (which literally ripped the skin off my body!), this product works great. Try it and make your own decision. What works for some may not work for others.",health personal care,beauty
266,ThunderBolt Racer I can't say enough great things about this three wheeler. I bought it for my son when he was 2. He's now 5 and I'm so saddened that he is outgrowing it. He's had it for 3 years and he still loves it! My son is a little tall for his age so it would probably be a perfect fit for the average 5 y/o. I'm replacig it this year and hoping he'll get as much joy from the new one. Highly recommend!,baby products,toys games
267,"1 Red and 1 Green Prayer Plant - Maranta - Easy to grow I've always loved prayer plants and had one for years that was lost in a move. Recently I movedto an apartment that is perfect for having plants, but our town does not have much of a selection.I ordered these Marantas and they came today in wonderful condition. They are quite a bit biggerand fuller than I expected and appear to be very healthy!I will definitely buy from this vendor again!",grocery gourmet food,health personal care
268,"Faygo while this is the best soda ever made, this is WAAAAY too much for one 2-liter when on faygos site you can get 8 for almost the same price",grocery gourmet food,toys games
269,"Jerdon Pedismooth Pedicure Set It works very good, efficient, good potency. It is better to removes the calluced skin. If you are diabetic, it's a very good solution to avoid accident with the blade-cutting-callous. I recommended this set.",beauty,health personal care
270,"Eggcrate Bed Pad 4""x33""x72"" Don't get it. Says 4 inches thick but only 1 inch thick. I sent it back. Never filled up to correct thickness.",health personal care,pet supplies
271,"Elemis Sp@home Instant Refreshing Gel 5.10 fl oz (150 ml) I discovered this product on a cruise. I decided on the first day of the cruise that a Spa treatment was just the thing to jump start my relaxation. I have had chronic neck pain for over a year. When the therapist put this on my neck, all my pain was gone! I know my pain was stress related, but this treatment lasted me the whole week. Good stuff.",beauty,health personal care
272,"Earth Friendly Products Stain and Odor Remover The Order Remover certainly works as advertised, and it really deserves to be on your ""have to have"" list. It really works and has no obnoxious smell as some others do.My major complaint has nothing to do with this great product. It revolves around the accuracy of the photo used. None of the bottles come with a spray attachment, none of them. I urge Amazon to revise the picture used, sans spray top.",health personal care,pet supplies
273,"8in1 Kittyvite Daily Vitamin Supplement, 2.5-Ounce This is not a good product because the oils from the paste have seperated, so sometimes when I squirt it I get oil and sometimes I get paste. The cats do not lake the taste of it, it smells bad and obviously tastes bad. Beware.",pet supplies,health personal care
274,"Burt's Bees Herbal Insect Repellent, 4-Ounce Bottle This is some very oily stuff, and it has a pretty strong smell too. It doesn't dispense as a mist, which is what I was expecting. Instead it shoots out a grease jet that splatters (I actually got some in my eye when it splattered off my arm and let me tell you, this is not something you want in your eye). Also it attracts bugs, including biting flies and mosquitoes. I wore it in the woods and I was swarmed by just about every biting insect you can imagine. I was a mass of mosquito bites by the time I got home. I've never had that happen with other repellents I've tried.It worries me that in some of the reviews I've read people seem to think this is a nice, safe, mild product that you could use on a baby. It has citronella oil in it, which is known to cause skin irritation. The EPA requires a caution on the label because of that. I would never put this on a child.The only reason I can give this one star at all is because it does do nice things for my hair. As a hair product, if they changed the dispenser and took out the citronella this might be a winner.",health personal care,beauty
275,Ateco 1112 12-Color Food Coloring Kit This product is awesome! It takes just a few drops to get a fabulous color! It is very easy to work with! I loved them!,grocery gourmet food,beauty
276,"Flashy Quackers Family Gift Set was about 2 weeks after we received this Flashy Family. Two of the ducks completely stopped working, even though we were very careful to dry them and put them upside down after the bath. And because the toys are sealed for water safety, you can't replace a battery or check a connection. So your toddler will be completely confounded as to why the ""ducky no light"" anymore. A waste of [...].",toys games,baby products
277,"Saran Premium Plastic Wrap-100 ft. If you are looking for a good clingy plastic food wrap, steer away from this product. This wrap does not function contrary to what is advertised on the box. It does not stick to glass, nor does it stick to itself even if you pat it down.I highly recommend the following products instead. These brands' food wrap provide strong, instant cling for a tight seal:- Reynolds plastic wrap- Kirkland (Costco brand) plastic food wrap- First Street (Smart & Final brand) plastic food wrap",beauty,health personal care
